image,imprint
D:\CURE_crops\.\59/bottom/Customer/59_bottom_2625.png,T
D:\CURE_crops\.\59/bottom/Customer/59_bottom_2627.png,T
D:\CURE_crops\.\59/bottom/Customer/59_bottom_2634.png,T
D:\CURE_crops\.\59/bottom/Customer/59_bottom_2637.png,T
D:\CURE_crops\.\59/top/Customer/59_top_2608.png,TAP 50
D:\CURE_crops\.\59/top/Customer/59_top_2611.png,TAP 50
D:\CURE_crops\.\59/top/Customer/59_top_2617.png,T
D:\CURE_crops\.\6/bottom/Customer/6_bottom_275.png,
D:\CURE_crops\.\6/bottom/Customer/6_bottom_277.png,B
D:\CURE_crops\.\6/bottom/Customer/6_bottom_279.png,B
D:\CURE_crops\.\6/bottom/Customer/6_bottom_284.png,
D:\CURE_crops\.\6/bottom/Customer/6_bottom_285.png,
D:\CURE_crops\.\6/bottom/Customer/6_bottom_286.png,
D:\CURE_crops\.\6/top/Customer/6_top_253.png,A H
D:\CURE_crops\.\6/top/Customer/6_top_271.png,
D:\CURE_crops\.\60/bottom/Customer/60_bottom_2664.png,ET
D:\CURE_crops\.\60/bottom/Customer/60_bottom_2665.png,447
D:\CURE_crops\.\60/bottom/Customer/60_bottom_2680.png,G341
D:\CURE_crops\.\60/top/Customer/60_top_2642.png,D HL
D:\CURE_crops\.\60/top/Customer/60_top_2648.png,D M
D:\CURE_crops\.\60/top/Customer/60_top_2649.png,M D
D:\CURE_crops\.\60/top/Customer/60_top_2650.png,DW
D:\CURE_crops\.\60/top/Customer/60_top_2654.png,P 41
D:\CURE_crops\.\60/top/Customer/60_top_2662.png,G342
D:\CURE_crops\.\61/bottom/Customer/61_bottom_2719.png,T
D:\CURE_crops\.\61/bottom/Customer/61_bottom_2720.png,T
D:\CURE_crops\.\61/bottom/Customer/61_bottom_2721.png,
D:\CURE_crops\.\61/bottom/Customer/61_bottom_2744.png,T
D:\CURE_crops\.\61/top/Customer/61_top_2696.png,HLP
D:\CURE_crops\.\61/top/Customer/61_top_2700.png,T
D:\CURE_crops\.\61/top/Customer/61_top_2701.png,HLP
D:\CURE_crops\.\61/top/Customer/61_top_2703.png,HLP
D:\CURE_crops\.\61/top/Customer/61_top_2704.png,HLP
D:\CURE_crops\.\61/top/Customer/61_top_2705.png,T
D:\CURE_crops\.\61/top/Customer/61_top_2713.png,HLP
D:\CURE_crops\.\62/bottom/Customer/62_bottom_2771.png,T
D:\CURE_crops\.\62/bottom/Customer/62_bottom_2773.png,T
D:\CURE_crops\.\62/bottom/Customer/62_bottom_2781.png,T
D:\CURE_crops\.\62/bottom/Customer/62_bottom_2783.png,T
D:\CURE_crops\.\62/top/Customer/62_top_2752.png,YPP M100
D:\CURE_crops\.\62/top/Customer/62_top_2753.png,W
D:\CURE_crops\.\62/top/Customer/62_top_2754.png,
D:\CURE_crops\.\62/top/Customer/62_top_2758.png,
D:\CURE_crops\.\62/top/Customer/62_top_2762.png,T
D:\CURE_crops\.\63/bottom/Customer/63_bottom_2812.png,ACVLO 200
D:\CURE_crops\.\63/bottom/Customer/63_bottom_2814.png,CYCLOVIR 200
D:\CURE_crops\.\63/bottom/Customer/63_bottom_2818.png,ACVLOVIR 200
D:\CURE_crops\.\63/top/Customer/63_top_2790.png,SCD
D:\CURE_crops\.\63/top/Customer/63_top_2791.png,SCD
D:\CURE_crops\.\63/top/Customer/63_top_2795.png,SCS
D:\CURE_crops\.\63/top/Customer/63_top_2804.png,RED
D:\CURE_crops\.\63/top/Customer/63_top_2810.png,T
D:\CURE_crops\.\64/bottom/Customer/64_bottom_2846.png,
D:\CURE_crops\.\64/bottom/Customer/64_bottom_2857.png,Y
D:\CURE_crops\.\64/top/Customer/64_top_2836.png,NUC 200
D:\CURE_crops\.\64/top/Customer/64_top_2837.png,NUC 200
D:\CURE_crops\.\65/bottom/Customer/65_bottom_2883.png,IMP
D:\CURE_crops\.\65/bottom/Customer/65_bottom_2884.png,HMP
D:\CURE_crops\.\65/bottom/Customer/65_bottom_2886.png,HMP
D:\CURE_crops\.\65/bottom/Customer/65_bottom_2889.png,HMP
D:\CURE_crops\.\65/bottom/Customer/65_bottom_2891.png,HMP
D:\CURE_crops\.\65/bottom/Customer/65_bottom_2895.png,HMP
D:\CURE_crops\.\65/top/Customer/65_top_2859.png,S43
D:\CURE_crops\.\65/top/Customer/65_top_2873.png,SKB
D:\CURE_crops\.\65/top/Customer/65_top_2878.png,T
D:\CURE_crops\.\66/bottom/Customer/66_bottom_2926.png,T
D:\CURE_crops\.\66/bottom/Customer/66_bottom_2935.png,B
D:\CURE_crops\.\66/bottom/Customer/66_bottom_2940.png,
D:\CURE_crops\.\66/bottom/Customer/66_bottom_2946.png,G
D:\CURE_crops\.\66/top/Customer/66_top_2903.png,
D:\CURE_crops\.\66/top/Customer/66_top_2905.png,D W PMX
D:\CURE_crops\.\66/top/Customer/66_top_2913.png,D W PMX
D:\CURE_crops\.\66/top/Customer/66_top_2919.png,D W PMX
D:\CURE_crops\.\67/bottom/Customer/67_bottom_2961.png,
D:\CURE_crops\.\67/bottom/Customer/67_bottom_2965.png,
D:\CURE_crops\.\67/top/Customer/67_top_2949.png,BS27
D:\CURE_crops\.\67/top/Customer/67_top_2952.png,L258
D:\CURE_crops\.\68/bottom/Customer/68_bottom_2999.png,D V
D:\CURE_crops\.\68/bottom/Customer/68_bottom_3004.png,T
D:\CURE_crops\.\68/bottom/Customer/68_bottom_3007.png,T
D:\CURE_crops\.\68/top/Customer/68_top_2972.png,A B
D:\CURE_crops\.\68/top/Customer/68_top_2978.png,AB
D:\CURE_crops\.\68/top/Customer/68_top_2979.png,B 4
D:\CURE_crops\.\68/top/Customer/68_top_2985.png,
D:\CURE_crops\.\68/top/Customer/68_top_2988.png,A
D:\CURE_crops\.\69/bottom/Customer/69_bottom_3035.png,T
D:\CURE_crops\.\69/bottom/Customer/69_bottom_3040.png,RED AND WHITE
D:\CURE_crops\.\69/bottom/Customer/69_bottom_3044.png,T
D:\CURE_crops\.\69/bottom/Customer/69_bottom_3045.png,T
D:\CURE_crops\.\69/top/Customer/69_top_3013.png,D4
D:\CURE_crops\.\69/top/Customer/69_top_3018.png,GS DA
D:\CURE_crops\.\69/top/Customer/69_top_3020.png,DA CS
D:\CURE_crops\.\69/top/Customer/69_top_3031.png,
D:\CURE_crops\.\7/bottom/Customer/7_bottom_318.png,
D:\CURE_crops\.\7/bottom/Customer/7_bottom_323.png,
D:\CURE_crops\.\7/bottom/Customer/7_bottom_332.png,
D:\CURE_crops\.\7/bottom/Customer/7_bottom_335.png,
D:\CURE_crops\.\7/top/Customer/7_top_293.png,DLI DLT
D:\CURE_crops\.\7/top/Customer/7_top_295.png,DL1
D:\CURE_crops\.\7/top/Customer/7_top_298.png,DLI 171
D:\CURE_crops\.\7/top/Customer/7_top_301.png,DL1
D:\CURE_crops\.\7/top/Customer/7_top_306.png,TCL 43
D:\CURE_crops\.\70/bottom/Customer/70_bottom_3092.png,T
D:\CURE_crops\.\70/top/Customer/70_top_3055.png,G3
D:\CURE_crops\.\70/top/Customer/70_top_3064.png,C
D:\CURE_crops\.\70/top/Customer/70_top_3066.png,B
D:\CURE_crops\.\70/top/Customer/70_top_3069.png,5
D:\CURE_crops\.\70/top/Customer/70_top_3070.png,C
D:\CURE_crops\.\70/top/Customer/70_top_3073.png,T
D:\CURE_crops\.\70/top/Customer/70_top_3075.png,T
D:\CURE_crops\.\71/bottom/Customer/71_bottom_3127.png,L
D:\CURE_crops\.\71/bottom/Customer/71_bottom_3134.png,T
D:\CURE_crops\.\71/bottom/Customer/71_bottom_3137.png,T
D:\CURE_crops\.\71/bottom/Customer/71_bottom_3138.png,T
D:\CURE_crops\.\71/top/Customer/71_top_3098.png,SWCR
D:\CURE_crops\.\71/top/Customer/71_top_3099.png,SWCR
D:\CURE_crops\.\71/top/Customer/71_top_3111.png,SWGR
D:\CURE_crops\.\71/top/Customer/71_top_3113.png,EMACE
D:\CURE_crops\.\72/bottom/Customer/72_bottom_3168.png,T
D:\CURE_crops\.\72/bottom/Customer/72_bottom_3169.png,T
D:\CURE_crops\.\72/bottom/Customer/72_bottom_3171.png,T
D:\CURE_crops\.\72/bottom/Customer/72_bottom_3175.png,T
D:\CURE_crops\.\72/bottom/Customer/72_bottom_3178.png,T
D:\CURE_crops\.\72/bottom/Customer/72_bottom_3179.png,T
D:\CURE_crops\.\72/top/Customer/72_top_3148.png,KJ DOXY
D:\CURE_crops\.\72/top/Customer/72_top_3161.png,T
D:\CURE_crops\.\73/bottom/Customer/73_bottom_3214.png,S P
D:\CURE_crops\.\73/bottom/Customer/73_bottom_3219.png,
D:\CURE_crops\.\73/bottom/Customer/73_bottom_3220.png,
D:\CURE_crops\.\73/bottom/Customer/73_bottom_3222.png,JS
D:\CURE_crops\.\73/bottom/Customer/73_bottom_3228.png,G341
D:\CURE_crops\.\73/top/Customer/73_top_3194.png,T
D:\CURE_crops\.\73/top/Customer/73_top_3199.png,T
D:\CURE_crops\.\73/top/Customer/73_top_3201.png,ACL
D:\CURE_crops\.\73/top/Customer/73_top_3204.png,AC
D:\CURE_crops\.\73/top/Customer/73_top_3208.png,
D:\CURE_crops\.\74/bottom/Customer/74_bottom_3263.png,UT
D:\CURE_crops\.\74/bottom/Customer/74_bottom_3266.png,H U
D:\CURE_crops\.\74/bottom/Customer/74_bottom_3271.png,NT
D:\CURE_crops\.\74/bottom/Customer/74_bottom_3272.png,T
D:\CURE_crops\.\74/bottom/Customer/74_bottom_3273.png,
D:\CURE_crops\.\74/bottom/Customer/74_bottom_3277.png,
D:\CURE_crops\.\74/top/Customer/74_top_3239.png,TCL 370
D:\CURE_crops\.\74/top/Customer/74_top_3252.png,T
D:\CURE_crops\.\74/top/Customer/74_top_3256.png,CL CR
D:\CURE_crops\.\74/top/Customer/74_top_3260.png,T
D:\CURE_crops\.\75/bottom/Customer/75_bottom_3316.png,WON
D:\CURE_crops\.\75/bottom/Customer/75_bottom_3327.png,K0 NO
D:\CURE_crops\.\75/bottom/Customer/75_bottom_3334.png,KO NO
D:\CURE_crops\.\75/bottom/Customer/75_bottom_3340.png,KO NO
D:\CURE_crops\.\75/top/Customer/75_top_3293.png,T 7
D:\CURE_crops\.\75/top/Customer/75_top_3294.png,T E
D:\CURE_crops\.\75/top/Customer/75_top_3297.png,TAP
D:\CURE_crops\.\75/top/Customer/75_top_3302.png,TAP
D:\CURE_crops\.\75/top/Customer/75_top_3303.png,T
D:\CURE_crops\.\75/top/Customer/75_top_3305.png,T3
D:\CURE_crops\.\75/top/Customer/75_top_3309.png,T
D:\CURE_crops\.\76/bottom/Customer/76_bottom_3371.png,V
D:\CURE_crops\.\76/bottom/Customer/76_bottom_3373.png,Y
D:\CURE_crops\.\76/bottom/Customer/76_bottom_3375.png,
D:\CURE_crops\.\76/bottom/Customer/76_bottom_3377.png,T
D:\CURE_crops\.\76/bottom/Customer/76_bottom_3381.png,T
D:\CURE_crops\.\76/bottom/Customer/76_bottom_3387.png,T
D:\CURE_crops\.\76/top/Customer/76_top_3345.png,YAT
D:\CURE_crops\.\76/top/Customer/76_top_3348.png,YAT
D:\CURE_crops\.\76/top/Customer/76_top_3357.png,T
D:\CURE_crops\.\76/top/Customer/76_top_3358.png,T
D:\CURE_crops\.\77/bottom/Customer/77_bottom_3417.png,T
D:\CURE_crops\.\77/bottom/Customer/77_bottom_3418.png,T
D:\CURE_crops\.\77/bottom/Customer/77_bottom_3419.png,T
D:\CURE_crops\.\77/bottom/Customer/77_bottom_3421.png,
D:\CURE_crops\.\77/bottom/Customer/77_bottom_3433.png,T
D:\CURE_crops\.\77/top/Customer/77_top_3399.png,200
D:\CURE_crops\.\77/top/Customer/77_top_3402.png,T
D:\CURE_crops\.\77/top/Customer/77_top_3408.png,2 200
D:\CURE_crops\.\77/top/Customer/77_top_3414.png,T 200
D:\CURE_crops\.\78/bottom/Customer/78_bottom_3466.png,T
D:\CURE_crops\.\78/bottom/Customer/78_bottom_3473.png,
D:\CURE_crops\.\78/bottom/Customer/78_bottom_3481.png,T
D:\CURE_crops\.\78/bottom/Customer/78_bottom_3482.png,T
D:\CURE_crops\.\78/bottom/Customer/78_bottom_3486.png,T
D:\CURE_crops\.\78/bottom/Customer/78_bottom_3487.png,
D:\CURE_crops\.\78/top/Customer/78_top_3439.png,B
D:\CURE_crops\.\78/top/Customer/78_top_3451.png,
D:\CURE_crops\.\78/top/Customer/78_top_3457.png,T
D:\CURE_crops\.\79/bottom/Customer/79_bottom_3515.png,T
D:\CURE_crops\.\79/bottom/Customer/79_bottom_3517.png,T
D:\CURE_crops\.\79/bottom/Customer/79_bottom_3524.png,T
D:\CURE_crops\.\79/bottom/Customer/79_bottom_3530.png,T
D:\CURE_crops\.\79/bottom/Customer/79_bottom_3532.png,R
D:\CURE_crops\.\79/top/Customer/79_top_3491.png,TJ
D:\CURE_crops\.\79/top/Customer/79_top_3494.png,TJ
D:\CURE_crops\.\79/top/Customer/79_top_3497.png,C1
D:\CURE_crops\.\79/top/Customer/79_top_3500.png,RED
D:\CURE_crops\.\8/bottom/Customer/8_bottom_367.png,E
D:\CURE_crops\.\8/bottom/Customer/8_bottom_371.png,T
D:\CURE_crops\.\8/bottom/Customer/8_bottom_373.png,T
D:\CURE_crops\.\8/top/Customer/8_top_340.png,D W
D:\CURE_crops\.\8/top/Customer/8_top_343.png,D W
D:\CURE_crops\.\8/top/Customer/8_top_344.png,M G
D:\CURE_crops\.\8/top/Customer/8_top_354.png,M B
D:\CURE_crops\.\8/top/Customer/8_top_355.png,D4
D:\CURE_crops\.\80/bottom/Customer/80_bottom_3562.png,
D:\CURE_crops\.\80/bottom/Customer/80_bottom_3564.png,
D:\CURE_crops\.\80/bottom/Customer/80_bottom_3576.png,CELLIN
D:\CURE_crops\.\80/top/Customer/80_top_3534.png,COL
D:\CURE_crops\.\80/top/Customer/80_top_3537.png,COL
D:\CURE_crops\.\80/top/Customer/80_top_3545.png,COL
D:\CURE_crops\.\80/top/Customer/80_top_3550.png,COL
D:\CURE_crops\.\80/top/Customer/80_top_3552.png,T
D:\CURE_crops\.\81/bottom/Customer/81_bottom_3601.png,OZIMIDE
D:\CURE_crops\.\81/bottom/Customer/81_bottom_3608.png,CZ MI
D:\CURE_crops\.\81/bottom/Customer/81_bottom_3614.png,TIZ
D:\CURE_crops\.\81/bottom/Customer/81_bottom_3621.png,T
D:\CURE_crops\.\81/top/Customer/81_top_3578.png,OZIMIDE
D:\CURE_crops\.\81/top/Customer/81_top_3580.png,CZMI
D:\CURE_crops\.\81/top/Customer/81_top_3585.png,CZ MI
D:\CURE_crops\.\81/top/Customer/81_top_3588.png,TAP 3
D:\CURE_crops\.\81/top/Customer/81_top_3590.png,TWM Z0
D:\CURE_crops\.\82/bottom/Customer/82_bottom_3652.png,
D:\CURE_crops\.\82/bottom/Customer/82_bottom_3653.png,DW
D:\CURE_crops\.\82/bottom/Customer/82_bottom_3655.png,
D:\CURE_crops\.\82/bottom/Customer/82_bottom_3658.png,D W
D:\CURE_crops\.\82/bottom/Customer/82_bottom_3666.png,T
D:\CURE_crops\.\82/top/Customer/82_top_3624.png,V
D:\CURE_crops\.\82/top/Customer/82_top_3628.png,7
D:\CURE_crops\.\82/top/Customer/82_top_3633.png,L
D:\CURE_crops\.\82/top/Customer/82_top_3637.png,T
D:\CURE_crops\.\83/bottom/Customer/83_bottom_3696.png,
D:\CURE_crops\.\83/bottom/Customer/83_bottom_3697.png,
D:\CURE_crops\.\83/bottom/Customer/83_bottom_3698.png,T
D:\CURE_crops\.\83/bottom/Customer/83_bottom_3701.png,T
D:\CURE_crops\.\83/top/Customer/83_top_3672.png,URM O
D:\CURE_crops\.\83/top/Customer/83_top_3674.png,L0 01 URN
D:\CURE_crops\.\83/top/Customer/83_top_3680.png,T
D:\CURE_crops\.\84/bottom/Customer/84_bottom_3741.png,94 10
D:\CURE_crops\.\84/bottom/Customer/84_bottom_3746.png,T
D:\CURE_crops\.\84/bottom/Customer/84_bottom_3749.png,BA 10
D:\CURE_crops\.\84/bottom/Customer/84_bottom_3755.png,B
D:\CURE_crops\.\84/bottom/Customer/84_bottom_3758.png,T
D:\CURE_crops\.\84/top/Customer/84_top_3709.png,DW
D:\CURE_crops\.\84/top/Customer/84_top_3718.png,
D:\CURE_crops\.\84/top/Customer/84_top_3719.png,T
D:\CURE_crops\.\84/top/Customer/84_top_3724.png,T
D:\CURE_crops\.\84/top/Customer/84_top_3734.png,M D
D:\CURE_crops\.\85/bottom/Customer/85_bottom_3783.png,S MA
D:\CURE_crops\.\85/bottom/Customer/85_bottom_3787.png,NV 5
D:\CURE_crops\.\85/bottom/Customer/85_bottom_3797.png,S AN
D:\CURE_crops\.\85/bottom/Customer/85_bottom_3800.png,NVR 5
D:\CURE_crops\.\85/top/Customer/85_top_3769.png,T
D:\CURE_crops\.\85/top/Customer/85_top_3773.png,T
D:\CURE_crops\.\85/top/Customer/85_top_3777.png,T
D:\CURE_crops\.\85/top/Customer/85_top_3779.png,TAP
D:\CURE_crops\.\85/top/Customer/85_top_3780.png,YPP
D:\CURE_crops\.\86/bottom/Customer/86_bottom_3826.png,TAP
D:\CURE_crops\.\86/bottom/Customer/86_bottom_3827.png,HVS
D:\CURE_crops\.\86/bottom/Customer/86_bottom_3833.png,
D:\CURE_crops\.\86/bottom/Customer/86_bottom_3836.png,TAP
D:\CURE_crops\.\86/bottom/Customer/86_bottom_3839.png,S14
D:\CURE_crops\.\86/top/Customer/86_top_3815.png,SW
D:\CURE_crops\.\86/top/Customer/86_top_3820.png,MS
D:\CURE_crops\.\86/top/Customer/86_top_3824.png,MS
D:\CURE_crops\.\87/bottom/Customer/87_bottom_3874.png,L
D:\CURE_crops\.\87/bottom/Customer/87_bottom_3877.png,T
D:\CURE_crops\.\87/bottom/Customer/87_bottom_3880.png,W
D:\CURE_crops\.\87/bottom/Customer/87_bottom_3881.png,T
D:\CURE_crops\.\87/bottom/Customer/87_bottom_3887.png,W
D:\CURE_crops\.\87/top/Customer/87_top_3852.png,M D
D:\CURE_crops\.\87/top/Customer/87_top_3853.png,D W
D:\CURE_crops\.\87/top/Customer/87_top_3862.png,DW
D:\CURE_crops\.\88/bottom/Customer/88_bottom_3909.png,T
D:\CURE_crops\.\88/bottom/Customer/88_bottom_3916.png,
D:\CURE_crops\.\88/bottom/Customer/88_bottom_3922.png,T
D:\CURE_crops\.\88/bottom/Customer/88_bottom_3924.png,
D:\CURE_crops\.\88/bottom/Customer/88_bottom_3926.png,T
D:\CURE_crops\.\88/top/Customer/88_top_3893.png,50
D:\CURE_crops\.\88/top/Customer/88_top_3899.png,T
D:\CURE_crops\.\88/top/Customer/88_top_3905.png,T
D:\CURE_crops\.\89/bottom/Customer/89_bottom_3970.png,T
D:\CURE_crops\.\89/bottom/Customer/89_bottom_3972.png,T
D:\CURE_crops\.\89/bottom/Customer/89_bottom_3974.png,T
D:\CURE_crops\.\89/bottom/Customer/89_bottom_3975.png,T
D:\CURE_crops\.\89/top/Customer/89_top_3931.png,CL 5
D:\CURE_crops\.\89/top/Customer/89_top_3940.png,CL 5
D:\CURE_crops\.\89/top/Customer/89_top_3945.png,C
D:\CURE_crops\.\89/top/Customer/89_top_3951.png,CL5
D:\CURE_crops\.\89/top/Customer/89_top_3952.png,CL5
D:\CURE_crops\.\89/top/Customer/89_top_3953.png,T
D:\CURE_crops\.\9/bottom/Customer/9_bottom_408.png,T
D:\CURE_crops\.\9/bottom/Customer/9_bottom_409.png,T
D:\CURE_crops\.\9/bottom/Customer/9_bottom_426.png,T
D:\CURE_crops\.\9/top/Customer/9_top_386.png,HNHM
D:\CURE_crops\.\9/top/Customer/9_top_393.png,HN FMT
D:\CURE_crops\.\9/top/Customer/9_top_397.png,T
D:\CURE_crops\.\9/top/Customer/9_top_400.png,HN FMT
D:\CURE_crops\.\9/top/Customer/9_top_402.png,HN FMT
D:\CURE_crops\.\9/top/Customer/9_top_403.png,T
D:\CURE_crops\.\90/bottom/Customer/90_bottom_4016.png,W H
D:\CURE_crops\.\90/bottom/Customer/90_bottom_4017.png,W H
D:\CURE_crops\.\90/bottom/Customer/90_bottom_4022.png,H
D:\CURE_crops\.\90/bottom/Customer/90_bottom_4026.png,WH
D:\CURE_crops\.\90/top/Customer/90_top_3983.png,75
D:\CURE_crops\.\90/top/Customer/90_top_3986.png,CZ1
D:\CURE_crops\.\90/top/Customer/90_top_3987.png,CZ1
D:\CURE_crops\.\90/top/Customer/90_top_3995.png,T
D:\CURE_crops\.\90/top/Customer/90_top_4001.png,TCL1
D:\CURE_crops\.\91/bottom/Customer/91_bottom_4054.png,B
D:\CURE_crops\.\91/bottom/Customer/91_bottom_4058.png,10
D:\CURE_crops\.\91/bottom/Customer/91_bottom_4068.png,O
D:\CURE_crops\.\91/top/Customer/91_top_4036.png,
D:\CURE_crops\.\91/top/Customer/91_top_4041.png,K
D:\CURE_crops\.\91/top/Customer/91_top_4046.png,T
D:\CURE_crops\.\91/top/Customer/91_top_4048.png,KV
D:\CURE_crops\.\91/top/Customer/91_top_4050.png,K
D:\CURE_crops\.\92/bottom/Customer/92_bottom_4093.png,T
D:\CURE_crops\.\92/bottom/Customer/92_bottom_4097.png,
D:\CURE_crops\.\92/bottom/Customer/92_bottom_4102.png,T
D:\CURE_crops\.\92/top/Customer/92_top_4071.png,G9 O2
D:\CURE_crops\.\92/top/Customer/92_top_4073.png,OG29
D:\CURE_crops\.\92/top/Customer/92_top_4084.png,T
D:\CURE_crops\.\92/top/Customer/92_top_4089.png,T
D:\CURE_crops\.\92/top/Customer/92_top_4090.png,
D:\CURE_crops\.\93/bottom/Customer/93_bottom_4139.png,
D:\CURE_crops\.\93/bottom/Customer/93_bottom_4146.png,T
D:\CURE_crops\.\93/top/Customer/93_top_4111.png,PV C
D:\CURE_crops\.\93/top/Customer/93_top_4112.png,C 3
D:\CURE_crops\.\93/top/Customer/93_top_4117.png,PV C
D:\CURE_crops\.\93/top/Customer/93_top_4127.png,PV C
D:\CURE_crops\.\93/top/Customer/93_top_4128.png,T
D:\CURE_crops\.\93/top/Customer/93_top_4130.png,PV C
D:\CURE_crops\.\94/bottom/Customer/94_bottom_4180.png,2
D:\CURE_crops\.\94/bottom/Customer/94_bottom_4181.png,B
D:\CURE_crops\.\94/bottom/Customer/94_bottom_4188.png,W
D:\CURE_crops\.\94/bottom/Customer/94_bottom_4189.png,763
D:\CURE_crops\.\94/bottom/Customer/94_bottom_4192.png,A
D:\CURE_crops\.\94/bottom/Customer/94_bottom_4193.png,A
D:\CURE_crops\.\94/top/Customer/94_top_4166.png,T
D:\CURE_crops\.\94/top/Customer/94_top_4167.png,T
D:\CURE_crops\.\94/top/Customer/94_top_4169.png,T
D:\CURE_crops\.\95/bottom/Customer/95_bottom_4218.png,
D:\CURE_crops\.\95/bottom/Customer/95_bottom_4221.png,T
D:\CURE_crops\.\95/bottom/Customer/95_bottom_4222.png,T04
D:\CURE_crops\.\95/bottom/Customer/95_bottom_4224.png,T
D:\CURE_crops\.\95/bottom/Customer/95_bottom_4227.png,T
D:\CURE_crops\.\95/bottom/Customer/95_bottom_4228.png,T
D:\CURE_crops\.\95/top/Customer/95_top_4208.png,T
D:\CURE_crops\.\96/bottom/Customer/96_bottom_4256.png,E 5
D:\CURE_crops\.\96/bottom/Customer/96_bottom_4257.png,HS
D:\CURE_crops\.\96/bottom/Customer/96_bottom_4261.png,S 1
D:\CURE_crops\.\96/top/Customer/96_top_4236.png,CC
D:\CURE_crops\.\96/top/Customer/96_top_4241.png,C
D:\CURE_crops\.\96/top/Customer/96_top_4243.png,C
D:\CURE_crops\.\96/top/Customer/96_top_4249.png,T
D:\CURE_crops\.\96/top/Customer/96_top_4254.png,T
D:\CURE_crops\.\97/bottom/Customer/97_bottom_4301.png,Z
D:\CURE_crops\.\97/bottom/Customer/97_bottom_4302.png,Z
D:\CURE_crops\.\97/bottom/Customer/97_bottom_4311.png,Z
D:\CURE_crops\.\97/bottom/Customer/97_bottom_4319.png,7
D:\CURE_crops\.\97/top/Customer/97_top_4284.png,UCB
D:\CURE_crops\.\97/top/Customer/97_top_4286.png,T
D:\CURE_crops\.\97/top/Customer/97_top_4291.png,T
D:\CURE_crops\.\97/top/Customer/97_top_4298.png,LE
D:\CURE_crops\.\98/bottom/Customer/98_bottom_4346.png,L
D:\CURE_crops\.\98/bottom/Customer/98_bottom_4350.png,L
D:\CURE_crops\.\98/bottom/Customer/98_bottom_4355.png,T
D:\CURE_crops\.\98/bottom/Customer/98_bottom_4356.png,T
D:\CURE_crops\.\98/bottom/Customer/98_bottom_4362.png,T
D:\CURE_crops\.\98/top/Customer/98_top_4333.png,T
D:\CURE_crops\.\98/top/Customer/98_top_4334.png,F Y
D:\CURE_crops\.\98/top/Customer/98_top_4341.png,HY
D:\CURE_crops\.\99/bottom/Customer/99_bottom_4390.png,C
D:\CURE_crops\.\99/bottom/Customer/99_bottom_4392.png,
D:\CURE_crops\.\99/bottom/Customer/99_bottom_4393.png,
D:\CURE_crops\.\99/bottom/Customer/99_bottom_4396.png,T
D:\CURE_crops\.\99/top/Customer/99_top_4365.png,M D
D:\CURE_crops\.\99/top/Customer/99_top_4373.png,DWN
D:\CURE_crops\.\99/top/Customer/99_top_4376.png,T
D:\CURE_crops\.\99/top/Customer/99_top_4380.png,T
